Name,Tier,Points,PUUID
Zagreus#wins,MASTER,363,cJAOx_-YBbQ8r64OvM2NM06JkSAynAjyU0huJccsoCKEkpSPfeKj4-49DZA8kojhsKtUJycGmDCC3A
Fill Me Daddy#NA1,MASTER,363,FeHhvbo0Q9e0XN626Z0UpUZTBq-ZJwpog35u26haok-scvOaHfVWAzjs7f_kupK__LDWaPzGdo-IQQ
bad person 123#ban,MASTER,362,y2ZNavKcd_06ghC3L_5xw3C3YS4DWvZDPHV-K58EYl-DbvYe_UHEeascu-rgZTeNcWOGhtgmj5VwxQ
heracrossguy123#chill,MASTER,362,XV3_jLYbAGc-2h8cOOtk_5dgYLXReByvzuOs1IAlJKXfznT_iIKr1zZYfGr2Mvie6bn2tO-W8yLIQA
Bane#11111,MASTER,361,8UsSWqS3_aVG0ez4pquxRNyVh5BHvLP0QXVPvEg_6z-9PTRigZigck0o_OKuEWkzduVPZVBIh660pA
ANTlDOTE#NA1,MASTER,361,oAw7Zf08_UeIp8o_5YCXVdXKE0BC3pkyRXlNk0e4A6V3pQVI9Zu-dvWwgFzP5nSOJWRq-7O5IMP92Q
One Dan#Zen,MASTER,361,etDm1GBIULvZIUCyIcuwl37iZMDV_ePZhwdjTPafDO_gG5wP9E9kwXHcuFP8zKsOIV559RYqNWWpPA
leesin4#NA1,MASTER,358,hjo1WtVJEpQLsiuTYKOVG0wTmKU6uqb7R5QVB2V4ASpKezWljpWGLNulRLHvtTEaid5mePjcqkc8_w
PíssTurbulence#peeR,MASTER,358,hHq1JK-jT15Un3s4vMnEyCz2X26G3bR34EzP4AB-1xun1OnAQc8a-ySbdL4J8VN1sHkSkO3D0cO2rw
Ankle Breaker#9035,MASTER,358,94-pNRVWKtgtf6oQEw74Xg2n0tJT0V18pqu5VdQpze7vzk8_wpqz-UhLXP8cJU8hW_jyi3tb8oXCZw
Fastandy02100RQ#NA1,MASTER,357,RtVDdPF8l6Kp2ZlsTZNEDNvVoXBrGREn-_8IptO-pBe3NGMGONsiN6qGT6TH4-C_jlFVqxZFimPppQ
gumpais knight#updog,MASTER,357,9yK4Z9CCPNEHQ8NbpgraArrQqOt4EA9z0wwuuHXj-YXMgNlpfqtyHpZCKKtmsFnf9QsuOB5K5igi0Q
nah but#DOFGK,MASTER,357,6JTIPap1PyxJx55pfcctocy-vvv-ZVdaywICykqqn16ILah5H6ugCDdwfU38MNz6qGMWRI6pdb6TAw
Prat#GPT,MASTER,356,Itv9VcoD4Y2uSMEWXu_vBYinUttu8BWGzDzCwMM6ifGJ0l-qUcVijd3oaOu5ROSOViUcExisqGR_KQ
Dun#NA1,MASTER,356,D9A1X_TZKAufPvit70yAIhmtrDDQnQJ5Z7mstgRnWq9C0plee7RFlLXfNLydoJgbXwetTgqgAwvcNw
bayonetta#heals,MASTER,356,s8E-DGqONizEl59qY5JRmfRYRRCUa-Lajzb2dV58wW0ispwWUJpr-c-5BLW7QLoRabQiqlMrxh86oA
Good Sir#NA1,MASTER,355,qIcwikwMY4Ev3FIL1WgpcJ7LE6sFKWCHoUEZwERuhmSRkhsbJGwUVBPqO281UNEhAYF4gASI0yLy8A
TL HONDA IMPACT#XDDD,MASTER,355,GrJKJTg40Vx_v5BKKtjukpEbRxbEoB4iB3tpskBFWWbh9ojlUXzEWG_gvHUrGMb5-uWFuv60eQtnlg
ice cream#2574,MASTER,354,X7MH-SonEgHKGUTLjuBzAd34gt1NwWrapOx3rcBw20E4tN2-8oXUEa_vE5Rrgliwi28ijmlmJeIt7w
魔法蛋逼#蛋蛋蛋蛋蛋,MASTER,354,yTOQ6RF86K1RgnNcuRXdie0-mMgjYywGGVvJUX9VCESzKF0iEvgKS4FacAjtyR2y-gfHw3_vjWu5Rg
BHAAG BHAI BHAAG#1234,MASTER,354,7QmzQ2D8VCnfzdAxX3Q5g84knHcwNxrL67PniaYC7LXwJfw2TrOHM4w3Zgp4s8_QOcf_YaAe7DDSdw
Outstep#NA1,MASTER,351,WvtalA8Ornt-GogTQIgjPWMFuMiPTPmTihpggVzIhOEFnezl3H_ge7oGl2gFybvg7rY8NDo_4Ipb5A
Typa Guy#NA2,MASTER,348,lh5FCFlATQOyqENKSX_HmwFxPvysQMTTPMDoLmTVaEcOl-ynCetlTeY0xXJpoieSH6x8LA_hn2Hhbg
Koala#Euca,MASTER,347,n9ZJK9XFwAxTGqczO3qROVDlWWZgskhu4nv4gOWAva8J34iPb3IiGekqOXnOOVDlPnoR3KrKRakljA
ćam#NA1,MASTER,347,qk_XFKZDJlO4UCSMynVMinChi8R4_ulsEzMrQe0FD-CAVHWr-s_CHviiQFohY1RUDhHk98s2_K1V0A
Chad Jungies#Chad,MASTER,347,HgvZ353t8dTp27DOBHdyhqoyx-ekVbhkp7Q0V6df8E2bgKk_CTcox5omJRAsHEH_AaY46CpyLFQ8DQ
Coach Cesar#NA1,MASTER,346,38rL0bnaTzujp8JKfE2rV8ddwS0CnNaiinGvuz2eTiMqWqoi6xUbz2j8NMq7lDBawod7OqYwH_YOvw
antgameplayer#NA1,MASTER,346,nWAKGfBC2XjL4O560LTr0JTscMNGSLhmduTihxsgSc2UWaJxceScbSYf40j7NgenO-Q5JVckKKXGZg
mbsorrywpgjnice#9945,MASTER,346,s2qiOPNL4Y2dUADfniQroBPpnVAurht0B339huPlO9NKXgBupULR34DpJWwBVGGnBhsbREts9hL03w
Chama#1349,MASTER,346,PKt4hkU0n-QQTM_N0Fa6QvE_-j5zgVndlVx96K1aIPUkrg0CfwmcQKpKjftINSOuK9zXchdH86YTig
Chibbi#Chui7,MASTER,346,MX7cdSmZ9HNNDL3wGDhLVO_fa7Mm7IlIAQfavH41V8LYT3hpMHF4oDO_Io6kbkyDo82N3nuhw_WrtQ
andysilva100#NA1,MASTER,345,JPefrNtt3pDW6PpON237nqY7aViXKNozpbRIwdXQY3cvVJ4jn9BvSUnUV4mKfR0zhkfLlgUQVCNAgQ
